name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Jeonbuk Motors vs Gwangju,2025-02-23 07:30:00,Game ended in draw.,K League 1,Jeonbuk Motors,Gwangju,2.0,2.0,4.0,8.0,4.0,1.0,4.0,2.0,14.0,4.0,125.0,105.0,109.0,55.0,58.0,42.0,,,7.0,3.0,7.0,1.0,,,3.0,11.0,8.0,4.0,14.0,15.0,0.0,3.0,1.0,2.0,2.24,3.3,3.53,1.85,2.0,,,2.05,1.85,,,2.15,3.1,3.4,1.8,1.9,,,2.02,1.82,,,0.45,0.3,0.28,0.5,0.54,,,0.49,0.54,,,0.47,0.32,0.29,0.56,0.53,,,0.5,0.55,,,2025
Gangwon vs Pohang Steelers,2025-02-23 07:30:00,Gangwon won after full-time.,K League 1,Gangwon,Pohang Steelers,2.0,1.0,10.0,12.0,4.0,3.0,6.0,1.0,16.0,5.0,145.0,72.0,69.0,22.0,64.0,36.0,,,14.0,3.0,2.0,2.0,,,3.0,9.0,12.0,5.0,12.0,15.0,3.0,4.0,1.0,3.0,2.67,3.21,2.88,1.95,1.9,,,1.96,1.92,,,2.6,3.1,2.8,1.83,1.83,,,1.95,1.9,,,0.37,0.31,0.35,0.53,0.51,,,0.51,0.52,,,0.38,0.32,0.36,0.55,0.55,,,0.51,0.53,,,2025
Ulsan HD vs Jeonbuk Motors,2025-03-01 05:00:00,Ulsan HD won after full-time.,K League 1,Ulsan HD,Jeonbuk Motors,1.0,0.0,5.0,2.0,5.0,4.0,4.0,3.0,14.0,8.0,130.0,123.0,86.0,83.0,54.0,46.0,,,7.0,5.0,7.0,3.0,0.0,2.0,6.0,8.0,9.0,5.0,17.0,14.0,2.0,3.0,4.0,3.0,2.5,3.38,2.97,2.1,1.78,,,,,2.03,1.86,2.55,3.3,2.75,2.0,1.72,,,,,2.0,1.85,0.4,0.3,0.34,0.56,0.48,,,,,0.49,0.54,0.39,0.3,0.36,0.5,0.58,,,,,0.5,0.54,2025
Pohang Steelers vs Daegu,2025-03-01 07:30:00,Game ended in draw.,K League 1,Pohang Steelers,Daegu,,,12.0,1.0,7.0,2.0,5.0,5.0,13.0,9.0,101.0,93.0,64.0,38.0,52.0,48.0,,,6.0,4.0,7.0,5.0,2.0,0.0,5.0,7.0,9.0,7.0,14.0,11.0,3.0,3.0,2.0,5.0,2.44,3.46,3.0,2.29,1.66,,,1.72,2.06,1.9,1.99,2.37,3.3,3.0,2.1,1.66,,,,,1.85,2.0,0.41,0.29,0.33,0.6,0.44,,,0.58,0.49,0.53,0.5,0.42,0.3,0.33,0.48,0.6,,,,,0.54,0.5,2025
Gwangju vs Anyang,2025-03-01 07:30:00,Gwangju won after full-time.,K League 1,Gwangju,Anyang,2.0,1.0,10.0,8.0,2.0,1.0,3.0,5.0,10.0,10.0,136.0,98.0,100.0,61.0,61.0,39.0,,,5.0,6.0,5.0,4.0,1.0,1.0,8.0,11.0,6.0,8.0,10.0,16.0,1.0,2.0,2.0,1.0,2.15,3.07,4.13,1.69,2.24,1.92,1.96,2.06,1.8,2.03,1.78,2.0,3.2,3.4,1.61,2.2,1.92,1.92,2.1,1.77,2.0,1.85,0.47,0.33,0.24,0.45,0.59,0.52,0.51,0.49,0.56,0.49,0.56,0.5,0.31,0.29,0.62,0.45,0.52,0.52,0.48,0.56,0.5,0.54,2025
Daejeon Citizen vs Suwon,2025-03-02 05:00:00,Daejeon Citizen won after full-time.,K League 1,Daejeon Citizen,Suwon,1.0,0.0,6.0,11.0,2.0,2.0,6.0,4.0,16.0,8.0,146.0,111.0,105.0,58.0,62.0,38.0,,,6.0,5.0,10.0,3.0,1.0,3.0,7.0,16.0,10.0,3.0,9.0,7.0,0.0,4.0,1.0,0.0,1.89,3.79,4.12,2.12,1.76,,,1.82,2.07,1.87,2.02,1.8,3.9,4.2,2.0,1.72,,,1.82,2.02,1.9,1.95,0.53,0.26,0.24,0.57,0.47,,,0.55,0.48,0.53,0.5,0.56,0.26,0.24,0.5,0.58,,,0.55,0.5,0.53,0.51,2025
Gangwon vs Jeju United,2025-03-02 07:30:00,Game ended in draw.,K League 1,Gangwon,Jeju United,,,8.0,5.0,6.0,5.0,3.0,5.0,6.0,12.0,102.0,128.0,50.0,58.0,42.0,58.0,,,4.0,7.0,2.0,5.0,2.0,0.0,5.0,5.0,7.0,9.0,11.0,13.0,5.0,3.0,2.0,0.0,2.06,3.39,3.95,1.88,1.96,,,1.93,1.95,,,1.95,3.3,3.9,1.8,1.9,,,1.92,1.92,,,0.49,0.29,0.25,0.51,0.53,,,0.52,0.51,,,0.51,0.3,0.26,0.56,0.53,,,0.52,0.52,,,2025
Seoul vs Gimcheon Sangmu,2025-03-03 05:00:00,Game ended in draw.,K League 1,Seoul,Gimcheon Sangmu,,,10.0,8.0,3.0,3.0,5.0,2.0,12.0,4.0,46.0,52.0,18.0,14.0,55.0,45.0,,,8.0,3.0,4.0,1.0,3.0,0.0,2.0,9.0,7.0,1.0,4.0,15.0,0.0,4.0,2.0,2.0,2.54,3.44,2.86,2.03,1.83,,,1.8,2.08,2.07,1.83,2.5,3.25,2.8,1.9,1.8,,,1.82,2.02,2.05,1.8,0.39,0.29,0.35,0.55,0.49,,,0.56,0.48,0.48,0.55,0.4,0.31,0.36,0.53,0.56,,,0.55,0.5,0.49,0.56,2025
Suwon vs Seoul,2025-03-08 05:00:00,Game ended in draw.,K League 1,Suwon,Seoul,,,11.0,9.0,4.0,4.0,5.0,4.0,10.0,10.0,119.0,144.0,59.0,81.0,43.0,57.0,,,1.0,4.0,9.0,6.0,1.0,0.0,11.0,8.0,8.0,9.0,9.0,7.0,4.0,4.0,1.0,0.0,3.79,3.57,2.04,1.95,1.89,,,1.82,2.08,2.08,1.81,3.9,3.4,2.0,1.83,1.83,,,1.82,2.02,,,0.26,0.28,0.49,0.53,0.51,,,0.55,0.48,0.48,0.55,0.26,0.29,0.5,0.55,0.55,,,0.55,0.5,,,2025
Daegu vs Daejeon Citizen,2025-03-08 07:30:00,Daejeon Citizen won after full-time.,K League 1,Daegu,Daejeon Citizen,1.0,2.0,1.0,2.0,6.0,3.0,11.0,3.0,16.0,7.0,146.0,71.0,93.0,38.0,50.0,50.0,,,,,,,0.0,1.0,3.0,12.0,11.0,6.0,7.0,13.0,3.0,4.0,1.0,5.0,2.52,3.28,3.03,2.16,1.74,,,1.81,2.0,2.0,1.89,2.4,3.1,3.0,2.0,1.72,,,,,2.0,1.85,0.4,0.3,0.33,0.57,0.46,,,0.55,0.5,0.5,0.53,0.42,0.32,0.33,0.5,0.58,,,,,0.5,0.54,2025
