name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Excelsior vs Feyenoord,2025-08-16 16:45:00,Feyenoord won after full-time.,Netherlands Eredivisie,Excelsior,Feyenoord,1.0,2.0,18.0,7.0,5.0,6.0,5.0,4.0,8.0,16.0,106.0,94.0,37.0,45.0,47.0,53.0,,,4.0,12.0,4.0,4.0,1.0,0.0,11.0,6.0,6.0,12.0,17.0,8.0,5.0,1.0,0.0,2.0,6.38,4.66,1.5,2.22,1.7,,,,,,,5.75,5.0,1.48,2.2,1.61,,,,,,,0.16,0.21,0.67,0.59,0.45,,,,,,,0.17,0.2,0.68,0.45,0.62,,,,,,,2025-2026
Heracles Almelo vs NEC Nijmegen,2025-08-16 18:00:00,NEC Nijmegen won after full-time.,Netherlands Eredivisie,Heracles Almelo,NEC Nijmegen,1.0,4.0,15.0,3.0,3.0,7.0,6.0,5.0,13.0,24.0,64.0,133.0,31.0,119.0,19.0,81.0,,,7.0,17.0,6.0,7.0,1.0,4.0,11.0,7.0,10.0,14.0,9.0,11.0,7.0,5.0,2.0,2.0,3.04,3.6,2.34,2.44,1.59,,,,,1.84,2.06,3.0,3.5,2.3,2.2,1.61,,,,,1.8,2.0,0.33,0.28,0.43,0.63,0.41,,,,,0.54,0.49,0.33,0.29,0.43,0.45,0.62,,,,,0.56,0.5,2025-2026
FC Groningen vs SC Heerenveen,2025-08-16 19:00:00,FC Groningen won after full-time.,Netherlands Eredivisie,FC Groningen,SC Heerenveen,2.0,1.0,14.0,11.0,3.0,8.0,3.0,7.0,8.0,16.0,129.0,108.0,36.0,32.0,54.0,46.0,,,5.0,14.0,3.0,3.0,1.0,2.0,6.0,5.0,7.0,7.0,9.0,15.0,4.0,3.0,4.0,2.0,2.26,3.37,3.41,2.09,1.78,,,,,2.03,1.86,2.2,3.3,3.4,2.0,1.75,,,,,1.97,1.82,0.44,0.3,0.29,0.56,0.48,,,,,0.49,0.54,0.45,0.3,0.29,0.5,0.57,,,,,0.51,0.55,2025-2026
Go Ahead Eagles vs Ajax,2025-08-17 10:15:00,Game ended in draw.,Netherlands Eredivisie,Go Ahead Eagles,Ajax,2.0,2.0,9.0,7.0,6.0,9.0,2.0,7.0,9.0,22.0,100.0,79.0,55.0,45.0,48.0,52.0,,,4.0,18.0,4.0,5.0,2.0,2.0,8.0,6.0,5.0,15.0,9.0,12.0,9.0,2.0,1.0,2.0,3.85,4.0,1.91,2.76,1.48,,,,,,,3.7,4.0,1.85,2.62,1.44,,,,,,,0.26,0.25,0.52,0.68,0.36,,,,,,,0.27,0.25,0.54,0.38,0.69,,,,,,,2025-2026
FC Twente vs PSV,2025-08-17 12:30:00,PSV won after full-time.,Netherlands Eredivisie,FC Twente,PSV,0.0,2.0,13.0,4.0,8.0,6.0,6.0,7.0,19.0,15.0,123.0,96.0,67.0,41.0,50.0,50.0,,,12.0,10.0,6.0,5.0,1.0,3.0,8.0,6.0,10.0,10.0,10.0,12.0,3.0,4.0,1.0,2.0,5.2,4.64,1.59,2.63,1.52,,,,,,,4.75,4.75,1.57,2.5,1.5,,,,,,,0.19,0.22,0.63,0.66,0.38,,,,,,,0.21,0.21,0.64,0.4,0.67,,,,,,,2025-2026
Sparta Rotterdam vs FC Utrecht,2025-08-17 12:30:00,Sparta Rotterdam won after full-time.,Netherlands Eredivisie,Sparta Rotterdam,FC Utrecht,2.0,1.0,16.0,5.0,5.0,6.0,3.0,7.0,15.0,20.0,84.0,129.0,30.0,52.0,45.0,55.0,1.0,0.0,9.0,11.0,6.0,9.0,0.0,4.0,7.0,5.0,8.0,11.0,9.0,11.0,4.0,3.0,1.0,3.0,2.56,3.52,2.79,2.28,1.66,,,,,1.85,2.04,2.4,3.6,2.75,2.1,1.66,,,,,1.8,2.0,0.39,0.28,0.36,0.6,0.44,,,,,0.54,0.49,0.42,0.28,0.36,0.48,0.6,,,,,0.56,0.5,2025-2026
FC Volendam vs AZ,2025-08-17 14:45:00,Game ended in draw.,Netherlands Eredivisie,FC Volendam,AZ,2.0,2.0,12.0,7.0,3.0,4.0,3.0,7.0,8.0,19.0,75.0,136.0,45.0,67.0,34.0,66.0,,,6.0,11.0,2.0,8.0,2.0,0.0,12.0,6.0,7.0,10.0,10.0,10.0,1.0,1.0,1.0,3.0,6.29,5.15,1.46,2.5,1.57,,,,,,,6.25,5.25,1.42,2.37,1.53,,,,,,,0.16,0.19,0.68,0.64,0.4,,,,,,,0.16,0.19,0.7,0.42,0.65,,,,,,,2025-2026
NAC Breda vs Fortuna Sittard,2025-08-17 18:00:00,NAC Breda won after full-time.,Netherlands Eredivisie,NAC Breda,Fortuna Sittard,2.0,1.0,14.0,11.0,4.0,5.0,6.0,2.0,14.0,10.0,70.0,108.0,35.0,59.0,39.0,61.0,,,9.0,6.0,5.0,4.0,2.0,0.0,7.0,6.0,11.0,6.0,8.0,15.0,3.0,4.0,2.0,3.0,2.41,3.36,3.12,2.12,1.77,,,1.83,2.07,2.02,1.87,2.37,3.25,3.1,2.0,1.75,,,1.77,2.02,1.97,1.82,0.41,0.3,0.32,0.56,0.47,,,0.55,0.48,0.5,0.53,0.42,0.31,0.32,0.5,0.57,,,0.56,0.5,0.51,0.55,2025-2026
Go Ahead Eagles vs Sparta Rotterdam,2025-08-23 14:30:00,Sparta Rotterdam won after full-time.,Netherlands Eredivisie,Go Ahead Eagles,Sparta Rotterdam,0.0,3.0,11.0,10.0,12.0,1.0,10.0,6.0,19.0,13.0,126.0,63.0,82.0,30.0,68.0,32.0,1.0,0.0,14.0,10.0,5.0,3.0,3.0,1.0,10.0,13.0,9.0,10.0,6.0,8.0,2.0,5.0,0.0,2.0,2.03,3.85,3.53,2.69,1.48,,,,,,,2.05,3.9,3.2,2.5,1.5,,,,,,,0.49,0.26,0.28,0.68,0.37,,,,,,,0.49,0.26,0.31,0.4,0.67,,,,,,,2025-2026
PSV vs FC Groningen,2025-08-23 16:45:00,PSV won after full-time.,Netherlands Eredivisie,PSV,FC Groningen,4.0,2.0,2.0,9.0,6.0,4.0,7.0,4.0,23.0,17.0,120.0,71.0,43.0,38.0,66.0,34.0,,,17.0,11.0,6.0,6.0,0.0,1.0,4.0,7.0,13.0,11.0,11.0,11.0,4.0,3.0,0.0,2.0,1.18,8.25,12.81,1.83,2.0,,,,,,,1.2,7.0,12.0,1.8,1.95,,,,,,,0.85,0.12,0.08,0.5,0.55,,,,,,,0.83,0.14,0.08,0.56,0.51,,,,,,,2025-2026
Telstar vs FC Volendam,2025-08-23 19:00:00,Game ended in draw.,Netherlands Eredivisie,Telstar,FC Volendam,2.0,2.0,16.0,11.0,4.0,6.0,6.0,1.0,18.0,10.0,115.0,104.0,75.0,43.0,49.0,51.0,,,14.0,6.0,4.0,4.0,3.0,0.0,4.0,9.0,13.0,6.0,10.0,11.0,4.0,8.0,3.0,0.0,2.11,3.88,3.3,2.58,1.51,,,,,,,2.15,3.8,3.0,2.37,1.53,,,,,,,0.47,0.26,0.3,0.66,0.39,,,,,,,0.47,0.26,0.33,0.42,0.65,,,,,,,2025-2026
SC Heerenveen vs FC Twente,2025-08-24 10:15:00,FC Twente won after full-time.,Netherlands Eredivisie,SC Heerenveen,FC Twente,1.0,2.0,14.0,16.0,7.0,4.0,6.0,3.0,18.0,9.0,114.0,97.0,68.0,22.0,55.0,45.0,,,11.0,5.0,7.0,4.0,3.0,1.0,5.0,11.0,8.0,7.0,10.0,19.0,3.0,2.0,3.0,4.0,2.7,3.5,2.65,2.2,1.69,,,,,1.87,2.02,2.62,3.5,2.5,2.05,1.7,,,,,1.85,1.95,0.37,0.29,0.38,0.59,0.45,,,,,0.53,0.5,0.38,0.29,0.4,0.49,0.59,,,,,0.54,0.51,2025-2026
FC Utrecht vs Excelsior,2025-08-24 12:30:00,FC Utrecht won after full-time.,Netherlands Eredivisie,FC Utrecht,Excelsior,4.0,1.0,8.0,17.0,7.0,5.0,2.0,5.0,16.0,12.0,68.0,109.0,28.0,50.0,50.0,50.0,,,12.0,6.0,4.0,6.0,1.0,1.0,9.0,4.0,11.0,8.0,6.0,15.0,3.0,5.0,,,1.45,4.85,6.92,2.16,1.71,,,,,,,1.44,4.75,6.25,2.05,1.7,,,,,,,0.69,0.21,0.14,0.58,0.46,,,,,,,0.69,0.21,0.16,0.49,0.59,,,,,,,2025-2026
NEC Nijmegen vs NAC Breda,2025-08-24 12:30:00,NEC Nijmegen won after full-time.,Netherlands Eredivisie,NEC Nijmegen,NAC Breda,3.0,0.0,2.0,10.0,3.0,1.0,6.0,4.0,18.0,7.0,112.0,87.0,50.0,26.0,51.0,49.0,1.0,0.0,13.0,4.0,5.0,2.0,0.0,3.0,4.0,9.0,16.0,5.0,16.0,18.0,2.0,7.0,2.0,4.0,1.6,4.42,5.35,2.4,1.58,,,,,,,1.61,4.33,5.0,2.25,1.57,,,,,,,0.62,0.23,0.19,0.63,0.42,,,,,,,0.62,0.23,0.2,0.44,0.64,,,,,,,2025-2026
Ajax vs Heracles Almelo,2025-08-24 14:45:00,Ajax won after full-time.,Netherlands Eredivisie,Ajax,Heracles Almelo,2.0,0.0,8.0,17.0,10.0,1.0,6.0,2.0,27.0,4.0,110.0,79.0,52.0,23.0,66.0,34.0,,,22.0,2.0,5.0,1.0,4.0,1.0,3.0,8.0,13.0,2.0,10.0,15.0,0.0,7.0,0.0,2.0,1.21,7.0,13.56,1.95,1.88,,,,,,,1.22,6.5,12.0,1.95,1.8,,,,,,,0.83,0.14,0.07,0.53,0.51,,,,,,,0.82,0.15,0.08,0.51,0.56,,,,,,,2025-2026
FC Groningen vs Heracles Almelo,2025-08-29 18:00:00,FC Groningen won after full-time.,Netherlands Eredivisie,FC Groningen,Heracles Almelo,4.0,0.0,11.0,18.0,6.0,3.0,4.0,7.0,17.0,8.0,92.0,98.0,33.0,35.0,51.0,49.0,,,11.0,4.0,6.0,4.0,2.0,0.0,8.0,3.0,11.0,5.0,13.0,12.0,0.0,1.0,2.0,1.0,1.67,4.03,5.31,2.07,1.78,,,,,1.84,2.06,1.61,3.9,5.0,1.95,1.8,,,,,1.8,2.0,0.6,0.25,0.19,0.56,0.48,,,,,0.54,0.49,0.62,0.26,0.2,0.51,0.56,,,,,0.56,0.5,2025-2026
FC Volendam vs Ajax,2025-08-30 14:30:00,Game ended in draw.,Netherlands Eredivisie,FC Volendam,Ajax,1.0,1.0,10.0,3.0,2.0,7.0,4.0,8.0,11.0,13.0,56.0,121.0,32.0,71.0,31.0,69.0,,,3.0,9.0,9.0,4.0,1.0,2.0,14.0,5.0,9.0,10.0,12.0,15.0,3.0,3.0,2.0,3.0,9.17,6.25,1.29,2.13,1.72,,,,,,,8.5,5.75,1.3,2.05,1.7,,,,,,,0.11,0.16,0.78,0.58,0.47,,,,,,,0.12,0.17,0.77,0.49,0.59,,,,,,,2025-2026
SC Heerenveen vs Go Ahead Eagles,2025-08-30 16:45:00,Game ended in draw.,Netherlands Eredivisie,SC Heerenveen,Go Ahead Eagles,2.0,2.0,15.0,13.0,3.0,7.0,6.0,2.0,19.0,11.0,109.0,87.0,51.0,40.0,56.0,44.0,,,11.0,9.0,8.0,2.0,0.0,1.0,9.0,8.0,12.0,9.0,9.0,12.0,3.0,3.0,3.0,1.0,2.12,3.9,3.26,2.83,1.44,,,,,,,2.05,4.0,3.1,2.62,1.44,,,,,,,0.47,0.26,0.31,0.69,0.35,,,,,,,0.49,0.25,0.32,0.38,0.69,,,,,,,2025-2026
PSV vs Telstar,2025-08-30 18:00:00,Telstar won after full-time.,Netherlands Eredivisie,PSV,Telstar,0.0,2.0,2.0,16.0,10.0,3.0,9.0,4.0,23.0,9.0,129.0,66.0,99.0,29.0,71.0,29.0,,,14.0,7.0,10.0,3.0,1.0,3.0,6.0,11.0,13.0,8.0,10.0,11.0,2.0,5.0,1.0,1.0,1.09,12.76,19.14,1.92,1.88,,,,,,,1.1,10.0,17.0,1.95,1.8,,,,,,,0.92,0.08,0.05,0.53,0.52,,,,,,,0.91,0.1,0.06,0.51,0.56,,,,,,,2025-2026
Excelsior vs FC Twente,2025-08-30 19:00:00,Excelsior won after full-time.,Netherlands Eredivisie,Excelsior,FC Twente,1.0,0.0,17.0,11.0,1.0,4.0,3.0,7.0,8.0,27.0,90.0,124.0,23.0,107.0,30.0,70.0,,,5.0,17.0,5.0,10.0,1.0,4.0,17.0,7.0,7.0,14.0,13.0,11.0,8.0,2.0,2.0,2.0,3.91,3.72,1.96,2.32,1.62,,,,,,,3.6,3.8,1.9,2.2,1.61,,,,,,,0.26,0.27,0.51,0.62,0.43,,,,,,,0.28,0.26,0.53,0.45,0.62,,,,,,,2025-2026
Fortuna Sittard vs NEC Nijmegen,2025-08-31 10:15:00,Fortuna Sittard won after full-time.,Netherlands Eredivisie,Fortuna Sittard,NEC Nijmegen,3.0,2.0,17.0,1.0,3.0,4.0,3.0,3.0,10.0,14.0,65.0,125.0,29.0,87.0,38.0,62.0,1.0,0.0,7.0,10.0,3.0,4.0,3.0,1.0,8.0,2.0,8.0,7.0,16.0,8.0,3.0,2.0,4.0,1.0,3.07,3.84,2.24,2.61,1.5,,,,,,,2.9,3.9,2.2,2.37,1.53,,,,,,,0.33,0.26,0.45,0.67,0.38,,,,,,,0.34,0.26,0.45,0.42,0.65,,,,,,,2025-2026
PEC Zwolle vs FC Utrecht,2025-08-31 12:30:00,FC Utrecht won after full-time.,Netherlands Eredivisie,PEC Zwolle,FC Utrecht,0.0,2.0,6.0,4.0,3.0,2.0,3.0,5.0,6.0,14.0,103.0,95.0,46.0,25.0,48.0,52.0,,,5.0,6.0,2.0,8.0,3.0,1.0,7.0,9.0,8.0,13.0,13.0,10.0,5.0,2.0,2.0,1.0,3.51,3.52,2.15,2.26,1.65,,,,,1.84,2.06,3.6,3.6,2.0,2.1,1.66,,,,,1.8,2.0,0.28,0.28,0.47,0.61,0.44,,,,,0.54,0.49,0.28,0.28,0.5,0.48,0.6,,,,,0.56,0.5,2025-2026
Sparta Rotterdam vs Feyenoord,2025-08-31 12:30:00,Feyenoord won after full-time.,Netherlands Eredivisie,Sparta Rotterdam,Feyenoord,0.0,4.0,8.0,5.0,1.0,9.0,3.0,7.0,7.0,24.0,65.0,111.0,36.0,92.0,38.0,62.0,,,5.0,18.0,2.0,6.0,2.0,2.0,12.0,1.0,3.0,18.0,5.0,9.0,7.0,2.0,1.0,2.0,3.86,3.92,1.92,2.46,1.56,,,,,,,3.6,3.9,1.9,2.25,1.57,,,,,,,0.26,0.26,0.52,0.64,0.41,,,,,,,0.28,0.26,0.53,0.44,0.64,,,,,,,2025-2026
NAC Breda vs AZ,2025-08-31 14:45:00,AZ won after full-time.,Netherlands Eredivisie,NAC Breda,AZ,0.0,1.0,15.0,9.0,1.0,7.0,2.0,10.0,11.0,25.0,79.0,91.0,35.0,72.0,38.0,62.0,1.0,0.0,9.0,15.0,2.0,10.0,1.0,3.0,11.0,4.0,7.0,17.0,8.0,13.0,7.0,6.0,0.0,5.0,4.6,4.02,1.76,2.12,1.74,,,,,,,4.33,4.0,1.7,2.05,1.7,,,,,1.87,1.92,0.22,0.25,0.57,0.57,0.47,,,,,,,0.23,0.25,0.59,0.49,0.59,,,,,0.53,0.52,2025-2026
Ajax vs PEC Zwolle,2025-09-13 14:30:00,Ajax won after full-time.,Netherlands Eredivisie,Ajax,PEC Zwolle,3.0,1.0,5.0,7.0,7.0,1.0,4.0,2.0,12.0,8.0,111.0,74.0,62.0,37.0,59.0,41.0,,,11.0,5.0,1.0,3.0,2.0,2.0,10.0,6.0,13.0,5.0,18.0,9.0,3.0,3.0,2.0,1.0,1.3,6.17,9.46,2.0,1.85,,,,,,,1.33,5.5,8.5,1.95,1.8,,,,,,,0.77,0.16,0.11,0.54,0.5,,,,,,,0.75,0.18,0.12,0.51,0.56,,,,,,,2025-2026
NEC Nijmegen vs PSV,2025-09-13 16:45:00,PSV won after full-time.,Netherlands Eredivisie,NEC Nijmegen,PSV,3.0,5.0,2.0,4.0,8.0,4.0,7.0,4.0,20.0,18.0,104.0,81.0,62.0,37.0,57.0,43.0,1.0,0.0,10.0,13.0,10.0,5.0,4.0,1.0,4.0,6.0,13.0,12.0,8.0,18.0,5.0,4.0,2.0,5.0,5.04,4.46,1.63,3.24,1.34,,,,,,,5.0,4.33,1.6,3.0,1.36,,,,,,,0.2,0.22,0.61,0.75,0.31,,,,,,,0.2,0.23,0.62,0.33,0.74,,,,,,,2025-2026
Go Ahead Eagles vs FC Volendam,2025-09-13 17:10:00,Go Ahead Eagles won after full-time.,Netherlands Eredivisie,Go Ahead Eagles,FC Volendam,3.0,0.0,13.0,11.0,7.0,7.0,4.0,8.0,19.0,19.0,68.0,108.0,29.0,66.0,46.0,54.0,,,12.0,11.0,7.0,8.0,2.0,1.0,10.0,5.0,16.0,14.0,12.0,9.0,1.0,10.0,1.0,1.0,1.54,4.85,5.53,2.73,1.46,,,,,,,1.5,4.75,5.5,2.62,1.44,,,,,,,0.65,0.21,0.18,0.68,0.37,,,,,,,0.67,0.21,0.18,0.38,0.69,,,,,,,2025-2026
FC Twente vs NAC Breda,2025-09-13 19:00:00,Game ended in draw.,Netherlands Eredivisie,FC Twente,NAC Breda,2.0,2.0,14.0,15.0,4.0,3.0,6.0,3.0,15.0,10.0,119.0,79.0,61.0,28.0,60.0,40.0,1.0,0.0,9.0,7.0,6.0,4.0,0.0,3.0,5.0,10.0,12.0,6.0,15.0,17.0,2.0,3.0,2.0,1.0,1.52,4.66,6.13,2.04,1.81,,,,,,,1.5,4.33,6.0,1.95,1.8,,,,,,,0.66,0.21,0.16,0.55,0.49,,,,,,,0.67,0.23,0.17,0.51,0.56,,,,,,,2025-2026
