name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Felgueiras 1932 vs Marítimo,2025-08-16 10:00:00,Marítimo won after full-time.,Portugal LigaPro,Felgueiras 1932,Marítimo,0.0,1.0,18.0,16.0,7.0,10.0,2.0,6.0,11.0,13.0,70.0,92.0,57.0,67.0,40.0,60.0,,,6.0,7.0,5.0,6.0,5.0,3.0,7.0,5.0,7.0,8.0,25.0,16.0,4.0,4.0,5.0,7.0,1.88,3.61,4.29,1.94,1.89,,,,,2.04,1.8,1.9,3.4,4.0,1.83,1.83,,,1.77,2.02,2.02,1.77,0.53,0.28,0.23,0.53,0.52,,,,,0.49,0.56,0.53,0.29,0.25,0.55,0.55,,,0.56,0.5,0.5,0.56,2025-2026
Vizela vs Porto II,2025-08-16 13:00:00,Vizela won after full-time.,Portugal LigaPro,Vizela,Porto II,4.0,0.0,4.0,12.0,3.0,7.0,5.0,2.0,17.0,7.0,92.0,64.0,61.0,47.0,59.0,41.0,,,13.0,6.0,4.0,1.0,2.0,2.0,5.0,5.0,8.0,6.0,14.0,6.0,4.0,5.0,1.0,1.0,1.71,3.65,5.4,2.07,1.79,,,,,1.81,1.97,1.7,3.8,4.75,2.0,1.72,,,,,,,0.58,0.27,0.19,0.56,0.48,,,,,0.55,0.51,0.59,0.26,0.21,0.5,0.58,,,,,,,2025-2026
Academico Viseu vs Paços de Ferreira,2025-08-16 14:30:00,Game ended in draw.,Portugal LigaPro,Academico Viseu,Paços de Ferreira,,,13.0,15.0,4.0,2.0,7.0,5.0,19.0,7.0,79.0,67.0,64.0,22.0,62.0,38.0,,,7.0,2.0,12.0,5.0,1.0,2.0,4.0,21.0,,,21.0,12.0,1.0,2.0,1.0,3.0,1.91,3.41,4.46,1.74,2.13,1.85,2.02,2.09,1.8,,,1.85,3.2,4.2,1.66,2.1,1.77,2.02,2.02,1.77,,,0.52,0.29,0.22,0.47,0.57,0.54,0.5,0.48,0.56,,,0.54,0.31,0.24,0.6,0.48,0.56,0.5,0.5,0.56,,,2025-2026
Lusitania FC Lourosa vs Chaves,2025-08-16 14:30:00,Game ended in draw.,Portugal LigaPro,Lusitania FC Lourosa,Chaves,2.0,2.0,5.0,8.0,8.0,7.0,10.0,4.0,15.0,8.0,105.0,90.0,68.0,64.0,56.0,44.0,,,8.0,5.0,7.0,3.0,1.0,0.0,7.0,13.0,11.0,8.0,15.0,16.0,1.0,0.0,4.0,0.0,3.05,3.05,2.61,1.98,1.86,,,1.94,1.92,,,2.8,3.1,2.4,1.83,1.83,,,1.92,1.87,,,0.33,0.33,0.38,0.54,0.51,,,0.52,0.52,,,0.36,0.32,0.42,0.55,0.55,,,0.52,0.53,,,2025-2026
Farense vs Torreense,2025-08-17 10:00:00,Torreense won after full-time.,Portugal LigaPro,Farense,Torreense,0.0,3.0,12.0,17.0,6.0,1.0,6.0,2.0,13.0,9.0,101.0,92.0,83.0,32.0,64.0,36.0,,,6.0,8.0,7.0,1.0,3.0,5.0,5.0,10.0,10.0,8.0,10.0,10.0,3.0,5.0,3.0,5.0,1.97,3.46,4.07,1.84,2.0,,,1.95,1.91,,,1.9,3.1,4.0,1.8,1.9,,,1.9,1.9,,,0.51,0.29,0.25,0.5,0.54,,,0.51,0.52,,,0.53,0.32,0.25,0.56,0.53,,,0.53,0.53,,,2025-2026
Sporting CP II vs União de Leiria,2025-08-17 10:00:00,Sporting CP II won after full-time.,Portugal LigaPro,Sporting CP II,União de Leiria,1.0,0.0,6.0,5.0,4.0,9.0,2.0,11.0,8.0,17.0,59.0,74.0,36.0,61.0,48.0,52.0,,,3.0,9.0,5.0,8.0,2.0,0.0,13.0,2.0,6.0,14.0,20.0,19.0,4.0,3.0,5.0,4.0,2.8,3.24,2.69,2.03,1.81,,,1.84,2.04,2.05,1.78,2.55,3.2,2.45,1.83,1.83,,,1.8,2.0,2.02,1.77,0.36,0.31,0.37,0.55,0.49,,,0.54,0.49,0.49,0.56,0.39,0.31,0.41,0.55,0.55,,,0.56,0.5,0.5,0.56,2025-2026
Penafiel vs UD Oliveirense,2025-08-17 13:00:00,Game ended in draw.,Portugal LigaPro,Penafiel,UD Oliveirense,,,17.0,11.0,4.0,2.0,7.0,4.0,11.0,10.0,97.0,77.0,77.0,49.0,56.0,44.0,,,7.0,7.0,4.0,3.0,3.0,2.0,11.0,11.0,6.0,10.0,13.0,8.0,5.0,2.0,,,2.14,3.49,3.49,2.16,1.72,,,,,1.93,1.93,2.05,3.3,3.4,2.0,1.72,,,,,1.9,1.9,0.47,0.29,0.29,0.58,0.46,,,,,0.52,0.52,0.49,0.3,0.29,0.5,0.58,,,,,0.53,0.53,2025-2026
Benfica II vs Leixões,2025-08-17 17:00:00,Game ended in draw.,Portugal LigaPro,Benfica II,Leixões,1.0,1.0,12.0,5.0,8.0,4.0,7.0,3.0,14.0,8.0,83.0,66.0,69.0,27.0,63.0,37.0,,,8.0,6.0,6.0,2.0,1.0,3.0,7.0,11.0,13.0,4.0,21.0,11.0,1.0,3.0,4.0,2.0,2.61,3.24,2.89,2.04,1.81,,,1.85,2.03,2.06,1.8,2.55,3.25,2.8,1.9,1.8,,,1.8,2.0,2.02,1.77,0.38,0.31,0.35,0.55,0.49,,,0.54,0.49,0.49,0.56,0.39,0.31,0.36,0.53,0.56,,,0.56,0.5,0.5,0.56,2025-2026
Chaves vs Felgueiras 1932,2025-08-22 19:15:00,Game ended in draw.,Portugal LigaPro,Chaves,Felgueiras 1932,1.0,1.0,10.0,18.0,3.0,5.0,6.0,8.0,8.0,11.0,62.0,86.0,34.0,41.0,50.0,50.0,0.0,1.0,4.0,7.0,4.0,4.0,,,11.0,8.0,7.0,10.0,14.0,14.0,1.0,0.0,4.0,4.0,2.09,3.21,4.01,1.98,1.85,,,1.87,1.99,,,2.05,3.2,3.4,1.83,1.83,,,1.85,1.95,,,0.48,0.31,0.25,0.54,0.51,,,0.53,0.5,,,0.49,0.31,0.29,0.55,0.55,,,0.54,0.51,,,2025-2026
Portimonense SAD vs Vizela,2025-08-23 10:00:00,Game ended in draw.,Portugal LigaPro,Portimonense SAD,Vizela,1.0,1.0,10.0,1.0,9.0,9.0,7.0,6.0,18.0,18.0,50.0,75.0,51.0,65.0,46.0,54.0,,,12.0,12.0,6.0,6.0,2.0,2.0,7.0,12.0,11.0,9.0,18.0,14.0,4.0,6.0,2.0,3.0,3.56,3.52,2.11,2.13,1.72,,,,,1.86,2.02,3.3,3.3,2.1,2.1,1.66,,,,,1.82,1.97,0.28,0.28,0.47,0.58,0.47,,,,,0.54,0.5,0.3,0.3,0.48,0.48,0.6,,,,,0.55,0.51,2025-2026
